Site,Sample Number,Station ,SH mm,SL mm,SW mm,Total Weight (g),Tare Pan Wt (g),Tissue Wet Wt (g),Shell Wet Wt (g),Tissue Dry Wt (g),Shell Dry Wt (g),Final Tissue Dry Wt (g),Condition Index,Month,Temp,Sal,LogCon,Season
TB,2828,5,58.38,38.01,26.18,33.31,1.03,6.42,23.83,1.59,20.75,0.56,2.7,Oct,28.1,27.68,0.568201724,Wet
TB,2829,5,45.68,43.45,17.75,20.3,1.04,4.01,14.63,1.39,12.5,0.35,2.8,Oct,28.1,27.68,0.579783597,Wet
TB,2830,5,68.02,42.29,20.46,39.64,1.04,8.41,25.84,2.03,22.32,0.99,4.44,Oct,28.1,27.68,0.7355989,Wet
TB,2831,1,58.7,29.51,18.61,20.13,1.05,4.03,13.86,1.41,12.47,0.36,2.89,Nov,21.44,30.39,0.589949601,Dry
TB,2832,1,42.95,30.83,16.53,15.53,1.04,3.53,11.21,1.24,13.62,0.2,1.47,Nov,21.44,30.39,0.392696953,Dry
TB,2833,1,39.38,34.49,16.08,13.4,1.03,4.23,9.94,1.34,10.65,0.31,2.91,Nov,21.44,30.39,0.592176757,Dry
TB,2834,1,56.1,33.92,18.15,18,1.06,3.34,12.3,1.32,12.96,0.26,2.01,Nov,21.44,30.39,0.478566496,Dry
TB,2835,1,49.54,29.17,21.13,20.87,1.05,4.79,14.32,1.27,13.43,0.22,1.64,Nov,21.44,30.39,0.421603927,Dry
TB,2836,2,58.41,32.38,26.3,31.43,1.05,4.52,21.87,1.39,20.45,0.34,1.66,Nov,21.44,30.39,0.424881637,Dry
TB,2837,2,45.75,33.81,15.6,17.47,1.06,3.38,11.97,1.31,11.23,0.25,2.23,Nov,21.44,30.39,0.509202522,Dry
TB,2838,2,58.75,37.8,25,29.11,1.05,5.5,19.89,1.68,18.64,0.63,3.38,Nov,21.44,30.39,0.641474111,Dry
TB,2839,2,57.39,38.75,20.96,25.52,1.05,5.17,16.91,1.66,15.68,0.61,3.89,Nov,21.44,30.39,0.689308859,Dry
TB,2840,2,36.31,23.01,12.33,6.62,1.05,2.09,4.83,1.18,4.33,0.13,3,Nov,21.44,30.39,0.602059991,Dry
TB,2841,3,60.62,35.46,14.35,22.4,1.06,3.77,17.03,1.44,14.64,0.38,2.6,Nov,21.44,30.39,0.556302501,Dry
TB,2842,3,48,34.79,18.64,17.99,1.05,3.19,13.16,1.29,11.36,0.24,2.11,Nov,21.44,30.39,0.492760389,Dry
TB,2843,3,48.94,33.68,16.34,14.42,1.03,2.88,10.71,1.27,9.13,0.24,2.63,Nov,21.44,30.39,0.559906625,Dry
TB,2844,3,41.54,32.17,15.07,13.49,1.05,3.26,9.85,1.3,8.54,0.25,2.93,Nov,21.44,30.39,0.59439255,Dry
TB,2845,3,37.08,33.31,12.09,10.1,1.06,2.33,7.86,1.3,6.66,0.24,3.6,Nov,21.44,30.39,0.662757832,Dry
TB,2846,4,47.56,27.16,11.83,9.94,1.04,2.91,6.66,1.23,6.35,0.19,2.99,Nov,21.44,30.39,0.600972896,Dry
TB,2847,4,38.22,25.02,11.93,6.66,1.06,2.25,4.47,1.21,4.1,0.15,3.66,Nov,21.44,30.39,0.668385917,Dry
TB,2848,4,37.93,24.39,14.6,7.39,1.06,2.14,5.1,1.23,4.84,0.17,3.51,Nov,21.44,30.39,0.654176542,Dry
TB,2849,4,40.1,30.4,11.87,7.56,1.06,2.3,5.2,1.24,4.63,0.18,3.89,Nov,21.44,30.39,0.689308859,Dry
TB,2850,4,41.95,25.41,17.32,15,1.05,3.44,10.71,1.29,9.85,0.24,2.44,Nov,21.44,30.39,0.536558443,Dry
TB,2851,5,42.69,32.01,16.15,11.63,1.04,3.6,7.86,1.43,6.96,0.39,5.6,Nov,21.44,30.39,0.819543936,Dry
TB,2852,5,42.15,27.56,16.1,14.09,1.04,3.93,9.56,1.55,8.46,0.51,6.03,Nov,21.44,30.39,0.846955325,Dry
TB,2853,5,58.63,34.99,21.55,30.03,1.03,8.61,20.35,1.82,18.25,0.79,4.33,Nov,21.44,30.39,0.726727209,Dry
TB,2854,5,57.86,40.46,15.25,21.17,1.04,5.43,13.56,1.59,12.21,0.55,4.5,Nov,21.44,30.39,0.740362689,Dry
TB,2855,5,47.58,32.29,12,11.2,1.05,3.1,8.16,1.35,7.38,0.3,4.07,Nov,21.44,30.39,0.705007959,Dry
TB,2856,1,47.16,32.82,17.17,18.29,1.04,3.57,12.24,1.32,11.39,0.28,2.46,Dec,18.22,29.71,0.539076099,Dry
TB,2857,1,63.3,33.52,17.87,31.38,1.03,6.67,21.69,1.72,20.01,0.69,3.45,Dec,18.22,29.71,0.648360011,Dry
TB,2858,1,50.58,27.77,12.82,11.11,1.02,3.1,8.11,1.32,7.19,0.3,4.17,Dec,18.22,29.71,0.713490543,Dry
TB,2859,1,40.3,36.73,14,11.01,1.05,3.44,6.84,1.31,6.48,0.26,4.01,Dec,18.22,29.71,0.699837726,Dry
TB,2860,1,58.43,36.01,24.59,24.05,1.03,4.67,16.41,1.43,15.09,0.4,2.65,Dec,18.22,29.71,0.562292864,Dry
TB,2861,2,63.01,38.94,22.54,36.93,1.04,5.75,28.67,1.69,27.28,0.65,2.38,Dec,18.22,29.71,0.5289167,Dry
TB,2862,2,59.84,38.74,13.53,19.54,1.03,4.66,13.62,1.61,12.77,0.58,4.54,Dec,18.22,29.71,0.743509765,Dry
TB,2863,2,38.9,32.28,15.06,16.42,1.03,3.95,11.61,1.39,10.78,0.36,3.34,Dec,18.22,29.71,0.63748973,Dry
TB,2864,2,42.41,36.67,16.3,21.64,1.03,4.44,15.17,1.52,14.07,0.49,3.48,Dec,18.22,29.71,0.651278014,Dry
TB,2865,2,55.79,33.32,20.95,26.89,1.03,4.67,18.8,1.53,17.85,0.5,2.8,Dec,18.22,29.71,0.579783597,Dry
TB,2866,3,69.08,41.64,21.57,46.61,1.04,6.92,33.61,1.62,28.96,0.58,2,Dec,18.22,29.71,0.477121255,Dry
TB,2867,3,59.42,37.45,18.77,32.08,1.01,5.36,22.45,1.41,20.21,0.4,1.98,Dec,18.22,29.71,0.474216264,Dry
TB,2868,3,53.21,36.93,22.94,27.24,1.05,4.63,19.23,1.46,17.73,0.41,2.31,Dec,18.22,29.71,0.519827994,Dry
TB,2869,3,54.73,32.6,21.21,28.83,1.02,4.78,20.59,1.57,16.93,0.55,3.25,Dec,18.22,29.71,0.62838893,Dry
TB,2870,3,61.82,33.35,22.77,32.93,1.04,5.2,23.85,1.59,19.86,0.55,2.77,Dec,18.22,29.71,0.57634135,Dry
TB,2871,4,49.18,32.65,15.3,16.25,1.05,4.06,10.75,1.36,10.15,0.31,3.05,Dec,18.22,29.71,0.607455023,Dry
TB,2872,4,50.88,31.73,21,16.57,1.01,3.31,10.64,1.43,9.16,0.42,4.59,Dec,18.22,29.71,0.747411808,Dry
TB,2873,4,48.24,33.22,21.26,19.18,1.05,3.97,11.86,1.47,11.09,0.42,3.79,Dec,18.22,29.71,0.680335513,Dry
TB,2874,4,46.71,30.91,17.95,16.45,1.03,3.99,11.66,1.44,10.85,0.41,3.78,Dec,18.22,29.71,0.679427897,Dry
TB,2875,4,46.73,25.54,14.57,10.07,1.04,2.95,7.06,1.29,6.62,0.25,3.78,Dec,18.22,29.71,0.679427897,Dry
TB,2876,5,51.6,39.87,20.3,18.06,1.03,4.44,12.56,1.58,11.06,0.55,4.97,Dec,18.22,29.71,0.775974331,Dry
TB,2877,5,45.95,36.14,13.36,13.8,1.01,3.68,10.3,1.4,8.44,0.39,4.62,Dec,18.22,29.71,0.749736316,Dry
TB,2878,5,49.7,34.84,14.22,14.17,1.01,3.39,10.58,1.42,9.09,0.41,4.51,Dec,18.22,29.71,0.741151599,Dry
TB,2879,5,46.41,30.44,17.88,10.38,1.03,3.42,6.98,1.28,6.25,0.25,4,Dec,18.22,29.71,0.698970004,Dry
TB,2880,5,47.52,30.94,13.66,12.08,1,3.06,9.63,1.35,8.51,0.35,4.11,Dec,18.22,29.71,0.7084209,Dry
